SV name  |  value  |  closest game ID  |  score  |  alternates
Eternal IV [EternalIV]  |  8.0  |  ???  |  -  |  -
Eternal Set [EternalSet]  |  43.0  |  ???  |  -  |  -
Eternalcane [Eternalcane]  |  13.0  |  ???  |  -  |  -
Eternalcane Set [EternalcaneSet]  |  26.0  |  ???  |  -  |  -
Euro [Euro]  |  4.0  |  ???  |  -  |  -
Ever Set [EverSet]  |  5950.0  |  ???  |  -  |  -
Evergreen [Evergreen]  |  2500.0  |  ???  |  -  |  -
Evergun [Evergun]  |  3450.0  |  ???  |  -  |  -
Eye Set [EyeSet]  |  8.0  |  ???  |  -  |  -
Fang [Fang]  |  10.0  |  ???  |  -  |  -
Flames [Flames]  |  5.0  |  ???  |  -  |  -
Flora [Flora]  |  410.0  |  ???  |  -  |  -
Floral (Knife) [ChromaFloralKnife]  |  10.0  |  ???  |  -  |  -
Flowerwood [Flowerwood]  |  260.0  |  ???  |  -  |  -
Flowerwood Gun [FlowerwoodGun]  |  265.0  |  ???  |  -  |  -
Flowerwood Set [FlowerwoodSet]  |  525.0  |  ???  |  -  |  -
Frostbite [Frostbite]  |  7.0  |  ???  |  -  |  -
Frosted (Knife) [ChromaFrostedKnife]  |  30.0  |  AsteroidKnife  |  0.72  |  -
Frostfade (Knife) [ChromaFrostfadeKnife]  |  2.0  |  ???  |  -  |  -
Frostsaber [Frostsaber]  |  10.0  |  ???  |  -  |  -
Frozen (Gun) [ChromaFrozenGun]  |  3.0  |  ???  |  -  |  -
Frozen (Knife) [ChromaFrozenKnife]  |  1.0  |  ???  |  -  |  -
Frozen Set [FrozenSet]  |  4.0  |  ???  |  -  |  -
Full Bringer Set [FullBringerSet]  |  191.0  |  ???  |  -  |  -
Full Chroma Set [FullChromaSet]  |  555.0  |  ???  |  -  |  -
Full Colored Seer Set [FullColoredSeerSet]  |  44.0  |  ???  |  -  |  -
Full Elderwood Set [FullElderwoodSet]  |  104.0  |  ???  |  -  |  -
Full Elite Set [FullEliteSet]  |  6.0  |  ???  |  -  |  -
Full Ice Set [FullIceSet]  |  258.0  |  ???  |  -  |  -
Full Luger Set [FullLugerSet]  |  181.0  |  ???  |  -  |  -
Full Swirly Set [FullSwirlySet]  |  68.0  |  ???  |  -  |  -
Gemstone [Gemstone]  |  15.0  |  Gravestone  |  0.778  |  -
Ghastly (Gun) [ChromaGhastlyGun]  |  5.0  |  ???  |  -  |  -
Ghost [Ghost]  |  8.0  |  Ghosts  |  0.909  |  Ghosts2023(0.85), Ghosts2024(0.85), Ghosts_K_2024(0.85)
Ghost (Gun) [ChromaGhostGun]  |  2.0  |  ???  |  -  |  -
Ghost (Knife) [ChromaGhostKnife]  |  5.0  |  ???  |  -  |  -
Ghost Set [GhostSet]  |  7.0  |  Ghosts  |  0.857  |  -
Ghostblade [Ghostblade]  |  7.0  |  ???  |  -  |  -
Ghostfire [Ghostfire]  |  8.0  |  ???  |  -  |  -
Ghosty [Ghosty]  |  3.0  |  Ghosts  |  0.833  |  -
Ghoulish [Ghoulish]  |  100.0  |  ???  |  -  |  -
Gifts (Knife) [ChromaGiftsKnife]  |  90.0  |  Gift  |  0.85  |  -
Ginger (Gun) [ChromaGingerGun]  |  5.0  |  ???  |  -  |  -
Ginger Luger [GingerLuger]  |  17.0  |  ???  |  -  |  -
Ginger Set (Godly) [GingerSetGodly]  |  30.0  |  ???  |  -  |  -
Gingerblade [Gingerblade]  |  13.0  |  ???  |  -  |  -
Gingerbread [Gingerbread]  |  1.0  |  ???  |  -  |  -
Gingerbread (Gun) [ChromaGingerbreadGun]  |  1.0  |  ???  |  -  |  -
Gingerbread (Knife) [ChromaGingerbreadKnife]  |  75.0  |  ???  |  -  |  -
Gingerbread Set [GingerbreadSet]  |  76.0  |  ???  |  -  |  -
Gingermint [Gingermint]  |  12.0  |  ???  |  -  |  -
Gingerscope [Gingerscope]  |  17750.0  |  ???  |  -  |  -
Glitch1 [Glitch1]  |  70.0  |  ???  |  -  |  -
Glitch2 [Glitch2]  |  45.0  |  ???  |  -  |  -
Golden [Golden]  |  4.0  |  ???  |  -  |  -
Gothic (Gun) [ChromaGothicGun]  |  7.0  |  ???  |  -  |  -
Grave (Gun) [ChromaGraveGun]  |  2.0  |  TravelerGun  |  0.737  |  -
Grave (Knife) [ChromaGraveKnife]  |  1.0  |  ???  |  -  |  -
Grave Set [GraveSet]  |  3.0  |  Gravestone  |  0.778  |  -
Green Elite [GreenElite]  |  3.0  |  ???  |  -  |  -
Green Luger [GreenLuger]  |  23.0  |  ???  |  -  |  -
Green Marble [GreenMarble]  |  2.0  |  ???  |  -  |  -
Grind [Grind]  |  2.0  |  ???  |  -  |  -
Hallow Set [HallowSet]  |  50.0  |  Halloween  |  0.778  |  -
Hallow's Blade [HallowsBlade]  |  8.0  |  ???  |  -  |  -
Hallow's Edge [HallowsEdge]  |  8.0  |  Halloween  |  0.8  |  -
Hallowgun [Hallowgun]  |  20.0  |  Halloween  |  0.778  |  -
Hallowscythe [Hallowscythe]  |  30.0  |  ???  |  -  |  -
Handsaw [Handsaw]  |  8.0  |  ???  |  -  |  -
Harvester [Harvester]  |  250.0  |  ???  |  -  |  -
Haunted (Gun) [ChromaHauntedGun]  |  1.0  |  Haunted  |  0.92  |  -
Haunted (Knife) [ChromaHauntedKnife]  |  1.0  |  Haunted  |  0.92  |  CandyKnife(0.727), AsteroidKnife(0.72)
Haunted Set [HauntedSet]  |  2.0  |  Haunted  |  0.92  |  -
Hazard (Gun) [ChromaHazardGun]  |  3.0  |  ???  |  -  |  -
Heart Wand [HeartWand]  |  340.0  |  ???  |  -  |  -
Heartblade [Heartblade]  |  65.0  |  ???  |  -  |  -
Heat [Heat]  |  10.0  |  ???  |  -  |  -
Holly (Gun) [ChromaHollyGun]  |  1.0  |  ???  |  -  |  -
Ice Dragon [IceDragon]  |  7.0  |  ???  |  -  |  -
Ice Set [IceSet]  |  98.0  |  ???  |  -  |  -
Ice Shard [IceShard]  |  7.0  |  ???  |  -  |  -
Icebeam [Icebeam]  |  18.0  |  Ice Cream  |  0.8  |  IceCream(0.8)
Iceblaster [Iceblaster]  |  33.0  |  ???  |  -  |  -
Icebreaker [Icebreaker]  |  65.0  |  ???  |  -  |  -
Icecracker [Icecracker]  |  1.0  |  ???  |  -  |  -
Icedriller [Icedriller]  |  5.0  |  ???  |  -  |  -
Icedriller Set [IcedrillerSet]  |  6.0  |  ???  |  -  |  -
Iceflake [Iceflake]  |  15.0  |  ???  |  -  |  -
Iceflake Set [IceflakeSet]  |  33.0  |  ???  |  -  |  -
Icepiercer [Icepiercer]  |  160.0  |  ???  |  -  |  -
Icewing [Icewing]  |  13.0  |  ???  |  -  |  -
Icicles (Gun) [ChromaIciclesGun]  |  5.0  |  ???  |  -  |  -
Indy [Indy]  |  2.0  |  Indy  |  1.0  |  -
Infected (Gun) [ChromaInfectedGun]  |  3.0  |  ???  |  -  |  -
Jack [Jack]  |  3.0  |  ???  |  -  |  -
JD [JD]  |  28.0  |  ???  |  -  |  -
Jinglegun [Jinglegun]  |  13.0  |  ???  |  -  |  -
Lantern [Lantern]  |  2.0  |  Lantern2024  |  0.85  |  Villager's Lantern(0.85)
Laser [Laser]  |  22.0  |  ???  |  -  |  -
Latte (Gun) [ChromaLatteGun]  |  155.0  |  Latte  |  0.92  |  -
Latte (Knife) [ChromaLatteKnife]  |  155.0  |  Latte  |  0.92  |  EliteKnife(0.8)
Latte Set [LatteSet]  |  310.0  |  Latte  |  0.92  |  LastReset(0.824)
Lightbringer [Lightbringer]  |  33.0  |  ???  |  -  |  -
Lights (Gun) [ChromaLightsGun]  |  2.0  |  Lights  |  0.92  |  -
Lights (Knife) [ChromaLightsKnife]  |  1.0  |  Lights  |  0.92  |  EliteKnife(0.762)
Lights Set [LightsSet]  |  3.0  |  Lights  |  0.92  |  -
Logchopper [Logchopper]  |  18.0  |  ???  |  -  |  -
Logchopper Set [LogchopperSet]  |  31.0  |  ???  |  -  |  -
Luger [Luger]  |  40.0  |  ???  |  -  |  -
Luger Set [LugerSet]  |  131.0  |  ???  |  -  |  -
Lugercane [Lugercane]  |  13.0  |  ???  |  -  |  -
Magma [Magma]  |  3.0  |  ???  |  -  |  -
Magma (Gun) [ChromaMagmaGun]  |  17.0  |  ???  |  -  |  -
Makeshift [Makeshift]  |  33.0  |  ???  |  -  |  -
Makeshift (Knife) [ChromaMakeshiftKnife]  |  45.0  |  ???  |  -  |  -
Marble Set [MarbleSet]  |  4.0  |  MarbleEgg  |  0.778  |  -
Meltdown [Meltdown]  |  2.0  |  ???  |  -  |  -
Minty [Minty]  |  13.0  |  ???  |  -  |  -
Monster [Monster]  |  1.0  |  ???  |  -  |  -
Moonlight [Moonlight]  |  1.0  |  ???  |  -  |  -
Moons [Moons]  |  1.0  |  ???  |  -  |  -
Mummified [Mummified]  |  15.0  |  ???  |  -  |  -
Mummy (2017) [Mummy2017]  |  7.0  |  ???  |  -  |  -
Mummy (Gun) [ChromaMummyGun]  |  2.0  |  ???  |  -  |  -
Mummy (Knife) [ChromaMummyKnife]  |  1.0  |  ???  |  -  |  -
Mummy Set [MummySet]  |  3.0  |  ???  |  -  |  -
Nebula [Nebula]  |  13.0  |  ???  |  -  |  -
Nightblade [Nightblade]  |  20.0  |  ???  |  -  |  -
Nightsky [Nightsky]  |  5.0  |  Nightsky  |  1.0  |  Nightsky2025(0.85)
Ocean [Ocean]  |  280.0  |  ???  |  -  |  -
Ocean Set [OceanSet]  |  555.0  |  ???  |  -  |  -
Old Glory [OldGlory]  |  15.0  |  ???  |  -  |  -
Old Glory Set [OldGlorySet]  |  37.0  |  ???  |  -  |  -
Ollie [Ollie]  |  7.0  |  ???  |  -  |  -
Orange Marble [OrangeMarble]  |  2.0  |  ???  |  -  |  -
Orange Seer [OrangeSeer]  |  2.0  |  ???  |  -  |  -
Ornament [Ornament]  |  27.0  |  Ornaments  |  0.941  |  -
Pals Set [PalsSet]  |  20.0  |  ???  |  -  |  -
Pearl [Pearl]  |  90.0  |  ???  |  -  |  -
Pearl Set [PearlSet]  |  185.0  |  ???  |  -  |  -
Pearlshine [Pearlshine]  |  95.0  |  ???  |  -  |  -
Peppermint [Peppermint]  |  4.0  |  Peppermint  |  1.0  |  Peppermint_K_2025(0.85)
Phantom [Phantom]  |  35.0  |  ???  |  -  |  -
Phaser [Phaser]  |  5.0  |  Haste  |  0.727  |  -
Pine (Knife) [ChromaPineKnife]  |  85.0  |  EliteKnife  |  0.737  |  -
Pixel [Pixel]  |  17.0  |  ???  |  -  |  -
Plasma Set [PlasmaSet]  |  33.0  |  ???  |  -  |  -
Plasmabeam [Plasmabeam]  |  18.0  |  ???  |  -  |  -
Plasmablade [Plasmablade]  |  15.0  |  ???  |  -  |  -
Potion (2017) [Potion2017]  |  3.0  |  ???  |  -  |  -
Potion (Gun) [ChromaPotionGun]  |  2.0  |  ???  |  -  |  -
Potion (Knife) [ChromaPotionKnife]  |  2.0  |  ???  |  -  |  -
Potion Set [PotionSet]  |  4.0  |  ???  |  -  |  -
Prince [Prince]  |  6.0  |  ???  |  -  |  -
Prism [Prism]  |  12.0  |  ???  |  -  |  -
Prismatic [Prismatic]  |  7.0  |  ???  |  -  |  -
Pumpkin (2019) [Pumpkin2019]  |  12.0  |  Pumpkin  |  0.85  |  Pumpkin2025(0.818)
Pumpkin Pie [PumpkinPie]  |  2.0  |  Pumpkin  |  0.85  |  -
Pumpkin Set [PumpkinSet]  |  404.0  |  Pumpkin  |  0.92  |  -
Pumpkin Set (2019) [PumpkinSet2019]  |  9.0  |  Pumpkin  |  0.85  |  Pumpkin2025(0.72)
Pumpkin Set (2020) [PumpkinSet2020]  |  48.0  |  Pumpkin  |  0.85  |  Pumpkin2025(0.8)
Pumpkin Set (2021) [PumpkinSet2021]  |  40.0  |  Pumpkin  |  0.85  |  Pumpkin2025(0.8)
Pumpking [Pumpking]  |  7.0  |  Pumpkin  |  0.933  |  Pumpkin2025(0.737)
Purple Seer [PurpleSeer]  |  3.0  |  ???  |  -  |  -
Rainbow [Rainbow]  |  410.0  |  Rainbows  |  0.933  |  Rainbows2025(0.85), Rainbows20255(0.85)
Rainbow Gun [RainbowGun]  |  420.0  |  Rainbows  |  0.778  |  -
Rainbow Set [RainbowSet]  |  830.0  |  Rainbows  |  0.889  |  Rainbows2025(0.727)
Raygun [Raygun]  |  1375.0  |  ???  |  -  |  -
Red Fire [RedFire]  |  1.0  |  ???  |  -  |  -
Red Luger [RedLuger]  |  38.0  |  ???  |  -  |  -
Red Scratch [RedScratch]  |  4.0  |  ???  |  -  |  -
Red Seer [RedSeer]  |  3.0  |  ???  |  -  |  -
RIP [RIP]  |  17.0  |  ???  |  -  |  -
Sakura [Sakura]  |  1280.0  |  ???  |  -  |  -
Sakura Set [SakuraSet]  |  2570.0  |  ???  |  -  |  -
Santa's Magic [SantasMagic]  |  3.0  |  Santa  |  0.85  |  -
Santa's Set (Legend.) [SantasSetLegend]  |  6.0  |  Santa  |  0.85  |  -
Santa's Spirit [SantasSpirit]  |  3.0  |  Santa  |  0.85  |  SantasList(0.727)
Saw [Saw]  |  7.0  |  ???  |  -  |  -
Scratch Set [ScratchSet]  |  6.0  |  ???  |  -  |  -
Seer [Seer]  |  3.0  |  ???  |  -  |  -
Shadow [Shadow]  |  6.0  |  ???  |  -  |  -
Shark [Shark]  |  20.0  |  Sharky_K_20247  |  0.85  |  -
Sidewinder [Sidewinder]  |  7.0  |  ???  |  -  |  -
Silent Night (Gun) [ChromaSilentNightGun]  |  12.0  |  ???  |  -  |  -
Silent Night (Knife) [ChromaSilentNightKnife]  |  50.0  |  ???  |  -  |  -
Silent Night Set [SilentNightSet]  |  62.0  |  ???  |  -  |  -
Skate Set [SkateSet]  |  30.0  |  ???  |  -  |  -
Sketchy [Sketchy]  |  4.0  |  ???  |  -  |  -
Skool [Skool]  |  8.0  |  ???  |  -  |  -
Skulls [Skulls]  |  4.0  |  ???  |  -  |  -
Slashed [Slashed]  |  1.0  |  ???  |  -  |  -
Slasher [Slasher]  |  15.0  |  ???  |  -  |  -
Slasher Set [SlasherSet]  |  37.0  |  LastReset  |  0.737  |  -
Slime (Gun) [ChromaSlimeGun]  |  1.0  |  ???  |  -  |  -
Slime (Knife) [ChromaSlimeKnife]  |  2.0  |  EliteKnife  |  0.8  |  -
Slime Set [SlimeSet]  |  3.0  |  ???  |  -  |  -
Slimy [Slimy]  |  15.0  |  ???  |  -  |  -
Small Set (103) [SmallSet103]  |  1265.0  |  ???  |  -  |  -
Small Set (107) [SmallSet107]  |  1295.0  |  ???  |  -  |  -
Snakebite (Gun) [ChromaSnakebiteGun]  |  1.0  |  ???  |  -  |  -
Snakebite (Knife) [ChromaSnakebiteKnife]  |  3.0  |  EliteKnife  |  0.75  |  SunsetKnife(0.72)
Snakebite Set [SnakebiteSet]  |  4.0  |  ???  |  -  |  -
Snow Dagger [SnowDagger]  |  255.0  |  ???  |  -  |  -
Snow Set [SnowSet]  |  1105.0  |  Sunset  |  0.769  |  -
Snowcannon [Snowcannon]  |  850.0  |  ???  |  -  |  -
Snowflake [Snowflake]  |  5.0  |  Snowflake  |  1.0  |  Snowflake2021(0.85)
Snowflake (Knife) [ChromaSnowflakeKnife]  |  50.0  |  Snowflake  |  0.92  |  -
